  #K-Path    Energy        Bi        Sb
# NKPTS & NBANDS:  80 112
# Band-Index:    1
    2.265  -24.4013     0.984     0.000
    2.227  -24.4012     0.984     0.000
    2.190  -24.4012     0.984     0.000
    2.153  -24.4011     0.984     0.000
    2.115  -24.4011     0.984     0.000
    2.078  -24.4011     0.984     0.000
    2.078  -24.4011     0.984     0.000
    2.034  -24.4011     0.984     0.000
    1.991  -24.4011     0.984     0.000
    1.947  -24.4012     0.984     0.000
    1.904  -24.4013     0.984     0.000
    1.860  -24.4013     0.984     0.000
    1.817  -24.4014     0.984     0.000
    1.773  -24.4014     0.984     0.000
    1.730  -24.4014     0.984     0.000
    1.686  -24.4015     0.984     0.000
    1.643  -24.4015     0.984     0.000
    1.599  -24.4015     0.984     0.000
    1.556  -24.4014     0.984     0.000
    1.512  -24.4014     0.984     0.000
    1.469  -24.4014     0.984     0.000
    1.425  -24.4013     0.984     0.000
    1.382  -24.4013     0.984     0.000
    1.338  -24.4012     0.984     0.000
    1.295  -24.4011     0.984     0.000
    1.251  -24.4011     0.984     0.000
    1.251  -24.4011     0.984     0.000
    1.208  -24.4011     0.984     0.000
    1.164  -24.4012     0.984     0.000
    1.121  -24.4013     0.984     0.000
    1.077  -24.4013     0.984     0.000
    1.034  -24.4014     0.984     0.000
    0.990  -24.4014     0.984     0.000
    0.947  -24.4014     0.984     0.000
    0.903  -24.4015     0.984     0.000
    0.860  -24.4015     0.984     0.000
    0.816  -24.4015     0.984     0.000
    0.773  -24.4014     0.984     0.000
    0.729  -24.4014     0.984     0.000
    0.686  -24.4014     0.984     0.000
    0.642  -24.4013     0.984     0.000
    0.599  -24.4013     0.984     0.000
    0.555  -24.4012     0.984     0.000
    0.512  -24.4011     0.984     0.000
    0.468  -24.4011     0.984     0.000
    0.425  -24.4011     0.984     0.000
    0.425  -24.4011     0.984     0.000
    0.402  -24.4010     0.984     0.000
    0.380  -24.4011     0.984     0.000
    0.358  -24.4011     0.984     0.000
    0.335  -24.4012     0.984     0.000
    0.313  -24.4012     0.984     0.000
    0.291  -24.4012     0.984     0.000
    0.268  -24.4013     0.984     0.000
    0.246  -24.4013     0.984     0.000
    0.224  -24.4013     0.984     0.000
    0.201  -24.4014     0.984     0.000
    0.179  -24.4014     0.984     0.000
    0.156  -24.4014     0.984     0.000
    0.134  -24.4014     0.984     0.000
    0.112  -24.4014     0.984     0.000
    0.089  -24.4015     0.984     0.000
    0.067  -24.4015     0.984     0.000
    0.045  -24.4015     0.984     0.000
    0.022  -24.4015     0.984     0.000
    0.000  -24.4015     0.984     0.000
 
# Band-Index:    7
    0.000  -24.4006     0.984     0.000
    0.022  -24.4006     0.984     0.000
    0.045  -24.4006     0.984     0.000
    0.067  -24.4006     0.984     0.000
    0.089  -24.4006     0.984     0.000
    0.112  -24.4006     0.984     0.000
    0.134  -24.4006     0.984     0.000
    0.156  -24.4007     0.984     0.000
    0.179  -24.4007     0.984     0.000
    0.201  -24.4007     0.984     0.000
    0.224  -24.4007     0.984     0.000
    0.246  -24.4008     0.984     0.000
    0.268  -24.4008     0.984     0.000
    0.291  -24.4008     0.984     0.000
    0.313  -24.4009     0.984     0.000
    0.335  -24.4009     0.984     0.000
    0.358  -24.4009     0.984     0.000
    0.380  -24.4010     0.984     0.000
    0.402  -24.4010     0.984     0.000
    0.425  -24.4010     0.984     0.000
    0.425  -24.4010     0.984     0.000
    0.468  -24.4009     0.984     0.000
    0.512  -24.4009     0.984     0.000
    0.555  -24.4008     0.984     0.000
    0.599  -24.4008     0.984     0.000
    0.642  -24.4007     0.984     0.000
    0.686  -24.4007     0.984     0.000
    0.729  -24.4006     0.984     0.000
    0.773  -24.4006     0.984     0.000
    0.816  -24.4006     0.984     0.000
    0.860  -24.4006     0.984     0.000
    0.903  -24.4006     0.984     0.000
    0.947  -24.4007     0.984     0.000
    0.990  -24.4007     0.984     0.000
    1.034  -24.4008     0.984     0.000
    1.077  -24.4008     0.984     0.000
    1.121  -24.4009     0.984     0.000
    1.164  -24.4009     0.984     0.000
    1.208  -24.4010     0.984     0.000
    1.251  -24.4011     0.985     0.000
    1.251  -24.4011     0.984     0.000
    1.295  -24.4010     0.984     0.000
    1.338  -24.4009     0.984     0.000
    1.382  -24.4009     0.984     0.000
    1.425  -24.4008     0.984     0.000
    1.469  -24.4008     0.984     0.000
    1.512  -24.4007     0.984     0.000
    1.556  -24.4007     0.984     0.000
    1.599  -24.4006     0.984     0.000
    1.643  -24.4006     0.984     0.000
    1.686  -24.4006     0.984     0.000
    1.730  -24.4006     0.984     0.000
    1.773  -24.4006     0.984     0.000
    1.817  -24.4007     0.984     0.000
    1.860  -24.4007     0.984     0.000
    1.904  -24.4008     0.984     0.000
    1.947  -24.4008     0.984     0.000
    1.991  -24.4009     0.984     0.000
    2.034  -24.4009     0.984     0.000
    2.078  -24.4010     0.984     0.000
    2.078  -24.4010     0.984     0.000
    2.115  -24.4010     0.984     0.000
    2.153  -24.4009     0.984     0.000
    2.190  -24.4008     0.984     0.000
    2.227  -24.4008     0.984     0.000
    2.265  -24.4008     0.984     0.000
    2.302  -24.4007     0.984     0.000
    2.339  -24.4007     0.984     0.000
    2.377  -24.4006     0.984     0.000
    2.414  -24.4006     0.984     0.000
    2.451  -24.4006     0.984     0.000
    2.488  -24.4006     0.984     0.000
    2.526  -24.4006     0.984     0.000
    2.563  -24.4006     0.984     0.000
    2.600  -24.4006     0.984     0.000
    2.638  -24.4005     0.984     0.000
    2.675  -24.4005     0.984     0.000
    2.712  -24.4005     0.984     0.000
    2.750  -24.4005     0.984     0.000
    2.787  -24.4004     0.984     0.000
 
# Band-Index:    8
    2.787  -24.4004     0.984     0.000
    2.750  -24.4004     0.984     0.000
    2.712  -24.4004     0.984     0.000
    2.675  -24.4004     0.984     0.000
    2.638  -24.4004     0.984     0.000
    2.600  -24.4003     0.984     0.000
    2.563  -24.4003     0.984     0.000
    2.526  -24.4003     0.984     0.000
    2.488  -24.4004     0.984     0.000
    2.451  -24.4004     0.984     0.000
    2.414  -24.4004     0.984     0.000
    2.377  -24.4004     0.984     0.000
    2.339  -24.4005     0.984     0.000
    2.302  -24.4005     0.984     0.000
    2.265  -24.4006     0.984     0.000
    2.227  -24.4007     0.984     0.000
    2.190  -24.4008     0.984     0.000
    2.153  -24.4009     0.984     0.000
    2.115  -24.4009     0.984     0.000
    2.078  -24.4010     0.984     0.000
    2.078  -24.4010     0.984     0.000
    2.034  -24.4009     0.984     0.000
    1.991  -24.4008     0.984     0.000
    1.947  -24.4008     0.984     0.000
    1.904  -24.4007     0.984     0.000
    1.860  -24.4006     0.984     0.000
    1.817  -24.4005     0.984     0.000
    1.773  -24.4005     0.984     0.000
    1.730  -24.4005     0.984     0.000
    1.686  -24.4005     0.984     0.000
    1.643  -24.4005     0.984     0.000
    1.599  -24.4005     0.984     0.000
    1.556  -24.4005     0.984     0.000
    1.512  -24.4006     0.984     0.000
    1.469  -24.4006     0.984     0.000
    1.425  -24.4007     0.984     0.000
    1.382  -24.4008     0.984     0.000
    1.338  -24.4009     0.984     0.000
    1.295  -24.4010     0.984     0.000
    1.251  -24.4011     0.984     0.000
    1.251  -24.4011     0.985     0.000
    1.208  -24.4010     0.984     0.000
    1.164  -24.4009     0.984     0.000
    1.121  -24.4008     0.984     0.000
    1.077  -24.4007     0.984     0.000
    1.034  -24.4006     0.984     0.000
    0.990  -24.4006     0.984     0.000
    0.947  -24.4005     0.984     0.000
    0.903  -24.4005     0.984     0.000
    0.860  -24.4005     0.984     0.000
    0.816  -24.4005     0.984     0.000
    0.773  -24.4005     0.984     0.000
    0.729  -24.4005     0.984     0.000
    0.686  -24.4005     0.984     0.000
    0.642  -24.4006     0.984     0.000
    0.599  -24.4007     0.984     0.000
    0.555  -24.4008     0.984     0.000
    0.512  -24.4008     0.984     0.000
    0.468  -24.4009     0.984     0.000
    0.425  -24.4010     0.984     0.000
    0.425  -24.4010     0.984     0.000
    0.402  -24.4010     0.984     0.000
    0.380  -24.4009     0.984     0.000
    0.358  -24.4009     0.984     0.000
    0.335  -24.4009     0.984     0.000
    0.313  -24.4008     0.984     0.000
    0.291  -24.4008     0.984     0.000
    0.268  -24.4008     0.984     0.000
    0.246  -24.4007     0.984     0.000
    0.224  -24.4007     0.984     0.000
    0.201  -24.4007     0.984     0.000
    0.179  -24.4007     0.984     0.000
    0.156  -24.4006     0.984     0.000
    0.134  -24.4006     0.984     0.000
    0.112  -24.4006     0.984     0.000
    0.089  -24.4006     0.984     0.000
    0.067  -24.4006     0.984     0.000
    0.045  -24.4006     0.984     0.000
    0.022  -24.4006     0.984     0.000
    0.000  -24.4006     0.984     0.000
 
# Band-Index:    9
    0.000  -21.4786     0.988     0.000
    0.022  -21.4788     0.988     0.000
    0.045  -21.4791     0.988     0.000
    0.067  -21.4793     0.988     0.000
    0.089  -21.4795     0.988     0.000
    0.112  -21.4798     0.988     0.000
    0.134  -21.4800     0.988     0.000
    0.156  -21.4803     0.988     0.000
    0.179  -21.4805     0.988     0.000
    0.201  -21.4807     0.988     0.000
    0.224  -21.4809     0.988     0.000
    0.246  -21.4811     0.988     0.000
    0.268  -21.4813     0.988     0.000
    0.291  -21.4814     0.988     0.000
    0.313  -21.4815     0.988     0.000
    0.335  -21.4816     0.988     0.000
    0.358  -21.4817     0.988     0.000
    0.380  -21.4817     0.988     0.000
    0.402  -21.4818     0.988     0.000
    0.425  -21.4817     0.988     0.000
    0.425  -21.4817     0.988     0.000
    0.468  -21.4818     0.988     0.000
    0.512  -21.4817     0.988     0.000
    0.555  -21.4815     0.988     0.000
    0.599  -21.4813     0.988     0.000
    0.642  -21.4810     0.988     0.000
    0.686  -21.4806     0.988     0.000
    0.729  -21.4802     0.988     0.000
    0.773  -21.4798     0.988     0.000
    0.816  -21.4794     0.988     0.000
    0.860  -21.4790     0.988     0.000
    0.903  -21.4786     0.988     0.000
    0.947  -21.4783     0.988     0.000
    0.990  -21.4781     0.988     0.000
    1.034  -21.4781     0.988     0.000
    1.077  -21.4779     0.988     0.000
