  #K-Path    Energy        Bi        Sb
# NKPTS & NBANDS:  80  55
# Band-Index:    1
    0.886  -24.1880     0.984     0.000
    0.843  -24.1880     0.984     0.000
    0.800  -24.1880     0.984     0.000
    0.756  -24.1880     0.984     0.000
    0.713  -24.1880     0.984     0.000
    0.670  -24.1881     0.984     0.000
    0.626  -24.1881     0.984     0.000
    0.583  -24.1881     0.984     0.000
    0.540  -24.1881     0.984     0.000
    0.496  -24.1882     0.984     0.000
    0.453  -24.1882     0.984     0.000
    0.410  -24.1883     0.984     0.000
    0.366  -24.1883     0.984     0.000
    0.366  -24.1883     0.984     0.000
    0.347  -24.1883     0.984     0.000
    0.328  -24.1883     0.984     0.000
    0.308  -24.1883     0.984     0.000
    0.289  -24.1883     0.984     0.000
    0.270  -24.1883     0.984     0.000
    0.251  -24.1883     0.984     0.000
    0.231  -24.1883     0.984     0.000
    0.212  -24.1883     0.984     0.000
    0.193  -24.1883     0.984     0.000
    0.173  -24.1883     0.984     0.000
    0.154  -24.1883     0.984     0.000
    0.135  -24.1883     0.984     0.000
    0.116  -24.1883     0.984     0.000
    0.096  -24.1883     0.984     0.000
    0.077  -24.1883     0.984     0.000
    0.058  -24.1883     0.984     0.000
    0.039  -24.1883     0.984     0.000
    0.019  -24.1883     0.984     0.000
    0.000  -24.1883     0.984     0.000
 
# Band-Index:    9
    0.000  -21.2616     0.988     0.000
    0.019  -21.2616     0.988     0.000
    0.039  -21.2617     0.988     0.000
    0.058  -21.2617     0.988     0.000
    0.077  -21.2617     0.988     0.000
    0.096  -21.2618     0.988     0.000
    0.116  -21.2618     0.988     0.000
    0.135  -21.2618     0.988     0.000
    0.154  -21.2618     0.988     0.000
    0.173  -21.2618     0.988     0.000
    0.193  -21.2619     0.988     0.000
    0.212  -21.2619     0.988     0.000
    0.231  -21.2619     0.988     0.000
    0.251  -21.2619     0.988     0.000
    0.270  -21.2619     0.988     0.000
    0.289  -21.2619     0.988     0.000
    0.308  -21.2619     0.988     0.000
    0.328  -21.2619     0.988     0.000
    0.347  -21.2619     0.988     0.000
    0.366  -21.2618     0.988     0.000
    0.366  -21.2618     0.988     0.000
    0.410  -21.2619     0.988     0.000
    0.453  -21.2618     0.988     0.000
    0.496  -21.2617     0.988     0.000
    0.540  -21.2615     0.988     0.000
    0.583  -21.2613     0.988     0.000
    0.626  -21.2611     0.988     0.000
    0.670  -21.2609     0.988     0.000
    0.713  -21.2606     0.988     0.000
    0.756  -21.2603     0.988     0.000
    0.800  -21.2600     0.988     0.000
    0.843  -21.2597     0.988     0.000
    0.886  -21.2594     0.988     0.000
    0.930  -21.2591     0.988     0.000
    0.973  -21.2587     0.988     0.000
    1.016  -21.2584     0.988     0.000
    1.060  -21.2580     0.988     0.000
    1.103  -21.2577     0.988     0.000
    1.146  -21.2573     0.988     0.000
    1.190  -21.2570     0.988     0.000
    1.190  -21.2570     0.988     0.000
    1.233  -21.2573     0.988     0.000
    1.276  -21.2577     0.988     0.000
    1.320  -21.2580     0.988     0.000
    1.363  -21.2584     0.988     0.000
    1.406  -21.2587     0.988     0.000
    1.450  -21.2591     0.988     0.000
    1.493  -21.2594     0.988     0.000
    1.536  -21.2597     0.988     0.000
    1.580  -21.2600     0.988     0.000
    1.623  -21.2603     0.988     0.000
    1.666  -21.2606     0.988     0.000
    1.710  -21.2609     0.988     0.000
    1.753  -21.2611     0.988     0.000
    1.796  -21.2613     0.988     0.000
    1.840  -21.2615     0.988     0.000
    1.883  -21.2617     0.988     0.000
    1.926  -21.2618     0.988     0.000
    1.970  -21.2619     0.988     0.000
    2.013  -21.2618     0.988     0.000
    2.013  -21.2618     0.988     0.000
    2.052  -21.2619     0.988     0.000
    2.091  -21.2618     0.988     0.000
    2.129  -21.2617     0.988     0.000
    2.168  -21.2614     0.988     0.000
    2.207  -21.2612     0.988     0.000
    2.246  -21.2611     0.988     0.000
    2.285  -21.2609     0.988     0.000
    2.323  -21.2607     0.988     0.000
    2.362  -21.2604     0.988     0.000
    2.401  -21.2602     0.988     0.000
    2.440  -21.2599     0.988     0.000
    2.479  -21.2597     0.988     0.000
    2.518  -21.2595     0.988     0.000
