  #K-Path    Energy        In        Sb
# NKPTS & NBANDS:  80  33
# Band-Index:    1
    2.117  -14.0310     0.980     0.001
    2.160  -14.0316     0.980     0.001
    2.204  -14.0323     0.980     0.001
    2.247  -14.0330     0.980     0.001
    2.290  -14.0337     0.979     0.001
    2.333  -14.0345     0.979     0.002
    2.377  -14.0351     0.979     0.002
    2.420  -14.0358     0.979     0.002
    2.463  -14.0363     0.979     0.002
    2.506  -14.0367     0.979     0.002
    2.550  -14.0370     0.979     0.002
    2.593  -14.0371     0.979     0.002
    2.636  -14.0371     0.979     0.002
    2.679  -14.0370     0.979     0.002
    2.723  -14.0367     0.979     0.002
    2.766  -14.0363     0.979     0.002
 
# Band-Index:    6
    2.766  -14.0363     0.979     0.002
    2.723  -14.0358     0.979     0.001
    2.679  -14.0352     0.980     0.001
    2.636  -14.0345     0.980     0.001
    2.593  -14.0337     0.980     0.001
    2.550  -14.0330     0.980     0.001
    2.506  -14.0322     0.980     0.001
    2.463  -14.0314     0.981     0.001
    2.420  -14.0306     0.981     0.001
    2.377  -14.0299     0.981     0.001
    2.333  -14.0293     0.981     0.001
    2.290  -14.0287     0.981     0.001
    2.247  -14.0283     0.982     0.000
    2.204  -14.0279     0.982     0.000
    2.160  -14.0276     0.982     0.000
    2.117  -14.0274     0.982     0.000
    2.074  -14.0272     0.982     0.000
    2.031  -14.0271     0.982     0.000
    1.987  -14.0270     0.982     0.000
    1.944  -14.0270     0.982     0.000
    1.944  -14.0270     0.982     0.000
    1.923  -14.0270     0.982     0.000
    1.901  -14.0270     0.982     0.000
    1.879  -14.0271     0.982     0.000
    1.858  -14.0271     0.982     0.000
    1.836  -14.0272     0.982     0.000
    1.814  -14.0273     0.982     0.000
    1.793  -14.0275     0.982     0.000
    1.771  -14.0276     0.982     0.000
    1.750  -14.0277     0.982     0.000
    1.728  -14.0279     0.982     0.000
    1.706  -14.0281     0.981     0.001
    1.685  -14.0283     0.981     0.001
    1.663  -14.0285     0.981     0.001
    1.641  -14.0287     0.981     0.001
    1.620  -14.0289     0.981     0.001
    1.598  -14.0290     0.981     0.001
    1.577  -14.0292     0.981     0.001
    1.555  -14.0294     0.981     0.001
    1.533  -14.0296     0.981     0.001
    1.533  -14.0296     0.981     0.001
    1.496  -14.0292     0.981     0.001
    1.458  -14.0289     0.981     0.001
    1.421  -14.0288     0.981     0.001
    1.383  -14.0287     0.981     0.001
    1.346  -14.0288     0.981     0.001
    1.309  -14.0291     0.981     0.001
    1.271  -14.0294     0.981     0.001
    1.234  -14.0298     0.981     0.001
    1.196  -14.0303     0.981     0.001
    1.159  -14.0309     0.981     0.001
    1.121  -14.0315     0.981     0.001
    1.084  -14.0321     0.980     0.001
    1.046  -14.0328     0.980     0.001
    1.009  -14.0335     0.980     0.001
    0.971  -14.0341     0.980     0.001
    0.934  -14.0348     0.980     0.001
    0.897  -14.0353     0.979     0.001
    0.859  -14.0358     0.979     0.001
    0.822  -14.0363     0.979     0.002
    0.822  -14.0363     0.979     0.002
    0.778  -14.0358     0.979     0.001
    0.735  -14.0352     0.980     0.001
    0.692  -14.0345     0.980     0.001
    0.649  -14.0337     0.980     0.001
    0.605  -14.0330     0.980     0.001
    0.562  -14.0322     0.980     0.001
    0.519  -14.0314     0.981     0.001
    0.476  -14.0306     0.981     0.001
    0.432  -14.0299     0.981     0.001
    0.389  -14.0293     0.981     0.001
    0.346  -14.0287     0.981     0.001
    0.303  -14.0283     0.982     0.000
    0.259  -14.0279     0.982     0.000
    0.216  -14.0276     0.982     0.000
    0.173  -14.0274     0.982     0.000
    0.130  -14.0272     0.982     0.000
    0.086  -14.0271     0.982     0.000
    0.043  -14.0270     0.982     0.000
    0.000  -14.0270     0.982     0.000
 
# Band-Index:    7
    0.000  -13.9918     0.979     0.001
    0.043  -13.9917     0.979     0.001
    0.086  -13.9916     0.979     0.001
    0.130  -13.9913     0.979     0.001
    0.173  -13.9910     0.979     0.001
    0.216  -13.9905     0.980     0.001
    0.259  -13.9900     0.980     0.001
    0.303  -13.9895     0.980     0.001
    0.346  -13.9889     0.980     0.001
    0.389  -13.9883     0.980     0.001
    0.432  -13.9876     0.980     0.001
    0.476  -13.9871     0.981     0.001
    0.519  -13.9865     0.981     0.001
    0.562  -13.9861     0.981     0.001
    0.605  -13.9857     0.981     0.000
    0.649  -13.9854     0.981     0.000
    0.692  -13.9851     0.981     0.000
    0.735  -13.9850     0.981     0.000
    0.778  -13.9849     0.981     0.000
    0.822  -13.9849     0.981     0.000
    0.822  -13.9849     0.981     0.000
    0.859  -13.9849     0.981     0.000
    0.897  -13.9849     0.981     0.000
    0.934  -13.9850     0.981     0.000
    0.971  -13.9852     0.981     0.000
    1.009  -13.9853     0.981     0.000
    1.046  -13.9855     0.981     0.000
    1.084  -13.9857     0.981     0.000
    1.121  -13.9860     0.981     0.001
    1.159  -13.9863     0.981     0.001
    1.196  -13.9865     0.981     0.001
    1.234  -13.9868     0.981     0.001
    1.271  -13.9871     0.981     0.001
    1.309  -13.9874     0.980     0.001
    1.346  -13.9877     0.980     0.001
    1.383  -13.9879     0.980     0.001
    1.421  -13.9881     0.980     0.001
    1.458  -13.9883     0.980     0.001
    1.496  -13.9884     0.980     0.001
    1.533  -13.9884     0.980     0.001
    1.533  -13.9884     0.980     0.001
    1.555  -13.9887     0.980     0.001
    1.577  -13.9890     0.980     0.001
    1.598  -13.9892     0.980     0.001
    1.620  -13.9895     0.980     0.001
    1.641  -13.9898     0.980     0.001
    1.663  -13.9900     0.980     0.001
    1.685  -13.9903     0.980     0.001
    1.706  -13.9905     0.980     0.001
    1.728  -13.9907     0.980     0.001
    1.750  -13.9909     0.979     0.001
    1.771  -13.9911     0.979     0.001
    1.793  -13.9912     0.979     0.001
    1.814  -13.9914     0.979     0.001
    1.836  -13.9915     0.979     0.001
    1.858  -13.9916     0.979     0.001
    1.879  -13.9917     0.979     0.001
    1.901  -13.9917     0.979     0.001
    1.923  -13.9918     0.979     0.001
    1.944  -13.9918     0.979     0.001
    1.944  -13.9918     0.979     0.001
    1.987  -13.9917     0.979     0.001
    2.031  -13.9916     0.979     0.001
    2.074  -13.9913     0.979     0.001
    2.117  -13.9910     0.979     0.001
    2.160  -13.9905     0.980     0.001
    2.204  -13.9900     0.980     0.001
    2.247  -13.9895     0.980     0.001
    2.290  -13.9889     0.980     0.001
    2.333  -13.9883     0.980     0.001
    2.377  -13.9876     0.980     0.001
    2.420  -13.9871     0.981     0.001
    2.463  -13.9865     0.981     0.001
    2.506  -13.9861     0.981     0.001
    2.550  -13.9857     0.981     0.000
    2.593  -13.9854     0.981     0.000
    2.636  -13.9851     0.981     0.000
    2.679  -13.9850     0.981     0.000
    2.723  -13.9849     0.981     0.000
    2.766  -13.9849     0.981     0.000
 
# Band-Index:    8
    2.766  -13.9849     0.981     0.000
    2.723  -13.9849     0.981     0.000
    2.679  -13.9850     0.981     0.000
    2.636  -13.9850     0.981     0.000
    2.593  -13.9851     0.981     0.000
    2.550  -13.9852     0.981     0.000
    2.506  -13.9853     0.981     0.000
    2.463  -13.9854     0.981     0.000
    2.420  -13.9855     0.981     0.000
    2.377  -13.9855     0.981     0.000
    2.333  -13.9855     0.981     0.000
    2.290  -13.9855     0.981     0.000
    2.247  -13.9854     0.981     0.000
    2.204  -13.9853     0.981     0.000
    2.160  -13.9852     0.981     0.000
    2.117  -13.9850     0.981     0.000
    2.074  -13.9848     0.981     0.000
    2.031  -13.9847     0.981     0.000
    1.987  -13.9846     0.981     0.000
    1.944  -13.9845     0.981     0.000
