# Omega(k)/|Omega(k)|, Omega(k) comes from the 4,5,6 columns of Berrycurvature.dat.
#col     1           2           3           4           5           6
  # kx (1/A)    ky (1/A)    kz (1/A)     Omega_x     Omega_y     Omega_z
   -0.690598   -0.525967    0.000000    0.146220    0.117639    0.982232
   -0.690598   -0.517483    0.000000    0.156996    0.115919    0.980773
   -0.690598   -0.509000    0.000000    0.170766    0.116525    0.978397
   -0.690598   -0.500517    0.000000    0.188768    0.120060    0.974655
   -0.690598   -0.492033    0.000000    0.212768    0.127320    0.968772
   -0.690598   -0.483550    0.000000    0.245263    0.139411    0.959380
   -0.690598   -0.475067    0.000000    0.289735    0.157894    0.943993
   -0.690598   -0.466583    0.000000    0.350848    0.184880    0.918001
   -0.690598   -0.458100    0.000000    0.434198    0.222913    0.872801
   -0.690598   -0.449617    0.000000    0.544489    0.274102    0.792717
   -0.690598   -0.441133    0.000000    0.679391    0.337188    0.651714
   -0.690598   -0.432650    0.000000    0.815273    0.400771    0.417986
   -0.690598   -0.424167    0.000000    0.894918    0.437525    0.087720
   -0.690598   -0.415683    0.000000    0.866186    0.422793   -0.266398
   -0.690598   -0.407200    0.000000    0.752960    0.368306   -0.545346
   -0.690598   -0.398717    0.000000    0.620552    0.305303   -0.722292
   -0.690598   -0.390233    0.000000    0.506760    0.251664   -0.824536
   -0.690598   -0.381750    0.000000    0.419718    0.211104   -0.882764
   -0.690598   -0.373267    0.000000    0.356047    0.181922   -0.916589
   -0.690598   -0.364783    0.000000    0.310262    0.161463   -0.936839
   -0.690598   -0.356300    0.000000    0.277580    0.147441   -0.949321
   -0.690598   -0.347817    0.000000    0.254349    0.138114   -0.957200
   -0.690598   -0.339333    0.000000    0.237854    0.132181   -0.962265
   -0.690598   -0.330850    0.000000    0.226052    0.128647   -0.965583
   -0.690598   -0.322367    0.000000    0.217374    0.126727   -0.967827
   -0.690598   -0.313883    0.000000    0.210617    0.125794   -0.969441
   -0.690598   -0.305400    0.000000    0.204907    0.125378   -0.970718
   -0.690598   -0.296917    0.000000    0.199694    0.125181   -0.971829
   -0.690598   -0.288433    0.000000    0.194734    0.125081   -0.972848
   -0.690598   -0.279950    0.000000    0.190031    0.125117   -0.973773
   -0.690598   -0.271467    0.000000    0.185744    0.125438   -0.974559
   -0.690598   -0.262983    0.000000    0.182071    0.126233   -0.975149
   -0.690598   -0.254500    0.000000    0.179159    0.127671   -0.975501
   -0.690598   -0.246017    0.000000    0.177031    0.129843   -0.975603
   -0.690598   -0.237533    0.000000    0.175553    0.132728   -0.975482
   -0.690598   -0.229050    0.000000    0.174444    0.136186   -0.975204
   -0.690598   -0.220567    0.000000    0.173319    0.139969   -0.974869
   -0.690598   -0.212083    0.000000    0.171788    0.143781   -0.974585
   -0.690598   -0.203600    0.000000    0.169576    0.147370   -0.974436
   -0.690598   -0.195117    0.000000    0.166626    0.150626   -0.974447
   -0.690598   -0.186633    0.000000    0.163144    0.153652   -0.974564
   -0.690598   -0.178150    0.000000    0.159547    0.156772   -0.974663
   -0.690598   -0.169667    0.000000    0.156351    0.160472   -0.974578
   -0.690598   -0.161183    0.000000    0.154047    0.165324   -0.974134
   -0.690598   -0.152700    0.000000    0.152990    0.171897   -0.973163
   -0.690598   -0.144217    0.000000    0.153333    0.180680   -0.971516
   -0.690598   -0.135733    0.000000    0.154959    0.192007   -0.969082
   -0.690598   -0.127250    0.000000    0.157419    0.205935   -0.965821
   -0.690598   -0.118767    0.000000    0.159882    0.222100   -0.961826
   -0.690598   -0.110283    0.000000    0.161160    0.239588   -0.957405
   -0.690598   -0.101800    0.000000    0.159905    0.256945   -0.953105
   -0.690598   -0.093317    0.000000    0.155000    0.272470   -0.949597
   -0.690598   -0.084833    0.000000    0.146013    0.284786   -0.947405
   -0.690598   -0.076350    0.000000    0.133415    0.293394   -0.946636
   -0.690598   -0.067867    0.000000    0.118382    0.298862   -0.946925
   -0.690598   -0.059383    0.000000    0.102294    0.302525   -0.947636
   -0.690598   -0.050900    0.000000    0.086274    0.305938   -0.948134
   -0.690598   -0.042417    0.000000    0.070955    0.310396   -0.947955
   -0.690598   -0.033933    0.000000    0.056486    0.316662   -0.946855
   -0.690598   -0.025450    0.000000    0.042655    0.324858   -0.944801
   -0.690598   -0.016967    0.000000    0.029047    0.334461   -0.941962
   -0.690598   -0.008483    0.000000    0.015187    0.344397   -0.938701
   -0.690598    0.000000    0.000000    0.000682    0.353267   -0.935522
   -0.690598    0.008483    0.000000   -0.014687    0.359738   -0.932938
   -0.690598    0.016967    0.000000   -0.030922    0.362987   -0.931281
   -0.690598    0.025450    0.000000   -0.047869    0.363003   -0.930558
  
